Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0603_1608Metric",11.900000,18.800000,180.000000,bottom
"J1","QTH-030-01-L-D-A","Samtec_QTH-030-01-L-D-A",17.000000,5.500000,180.000000,bottom
"C1","100nF","C_0603_1608Metric",22.080000,10.800000,-90.000000,top
"C2","100nF","C_0603_1608Metric",29.000000,10.800000,-90.000000,top
"R1","100k","R_0603_1608Metric",31.900000,18.800000,90.000000,top
"R2","100k","R_0603_1608Metric",25.890000,18.800000,90.000000,top
"R3","100k","R_0603_1608Metric",20.810000,18.800000,90.000000,top
"R4","100k","R_0603_1608Metric",14.500000,11.600000,-90.000000,top
"R5","100k","R_0603_1608Metric",9.300000,11.600000,-90.000000,top
"R6","33","R_0603_1608Metric",9.380000,18.800000,90.000000,top
"R7","33","R_0603_1608Metric",14.460000,18.800000,90.000000,top
"U1","SN74LVC2G34DBVR","TI_DBV0006A",22.080000,15.000000,-90.000000,top
"U2","SN74LVC2G34DBVR","TI_DBV0006A",29.000000,15.000000,-90.000000,top
"U3","SN74LVC2G34DBVR","TI_DBV0006A",11.900000,15.000000,90.000000,top
